"ADaCGH","cgh"
"ADaCGH","papply"
"ADaCGH","GDD"
"ADaCGH","waveslim"
"ADaCGH","cluster"
"ADaCGH","Hmisc"
"AER","car"
"AER","Formula"
"AER","lmtest"
"AER","sandwich"
"AER","strucchange"
"AER","survival"
"AER","zoo"
"AGSDest","ldbounds"
"AIGIS","gpclib"
"AIM","survival"
"ALS","nnls"
"ALS","Iso"
"AMA","rJava"
"AcceptanceSampling","methods"
"AcceptanceSampling","R"
"AcceptanceSampling","stats"
"AdMit","mvtnorm"
"AdaptFit","SemiPar"
"AdaptFit","MASS"
"AdaptFit","nlme"
"AdaptFit","cluster"
"Agreement","R2HTML"
"Amelia","foreign"
"Amelia","utils"
"AnalyzeFMRI","tcltk"
"AnalyzeFMRI","R.matlab"
"AnalyzeFMRI","fastICA"
"AnnotLists","tcltk"
"AquaEnv","minpack.lm"
"AquaEnv","deSolve"
"ArDec","stats"
"ArDec","methods"
"aCGH.Spline","rJava"
"abc","nnet"
"abc","quantreg"
"abc","locfit"
"abd","nlme"
"abd","lattice"
"abd","grid"
"abind","R"
"actuar","R"
"ada","rpart"
"adabag","rpart"
"adabag","mlbench"
"adaptTest","lattice"
"ade4TkGUI","ade4"
"ade4TkGUI","tcltk"
"adegenet","methods"
"adegenet","MASS"
"adehabitat","ade4"
"adehabitatHR","sp"
"adehabitatHR","methods"
"adehabitatHR","gpclib"
"adehabitatHR","tripack"
"adehabitatHR","ade4"
"adehabitatHR","adehabitatMA"
"adehabitatHR","adehabitatLT"
"adehabitatHS","sp"
"adehabitatHS","methods"
"adehabitatHS","gpclib"
"adehabitatHS","ade4"
"adehabitatHS","adehabitatMA"
"adehabitatHS","adehabitatHR"
"adehabitatLT","sp"
"adehabitatLT","methods"
"adehabitatLT","gpclib"
"adehabitatLT","ade4"
"adehabitatLT","adehabitatMA"
"adehabitatLT","CircStats"
"adehabitatMA","sp"
"adehabitatMA","methods"
"adehabitatMA","gpclib"
"adephylo","methods"
"adephylo","phylobase"
"adephylo","ape"
"adephylo","ade4"
"adimpro","R"
"adimpro","grDevices"
"adlift","EbayesThresh"
"afmtools","polynom"
"afmtools","fracdiff"
"afmtools","hypergeo"
"afmtools","sandwich"
"afmtools","longmemo"
"agsemisc","lattice"
"agsemisc","grid"
"alabama","numDeriv"
"allan","biglm"
"alphahull","tripack"
"alphahull","sgeostat"
"alphahull","splancs"
"alr3","car"
"amba","ofp"
"amer","methods"
"amer","nlme"
"amer","Matrix"
"amer","splines"
"amer","lme4"
"anacor","rgl"
"anacor","scatterplot3d"
"anacor","fda"
"anacor","colorspace"
"anacor","car"
"analogue","vegan"
"analogue","lattice"
"analogue","MASS"
"anchors","rgenoud"
"anchors","MASS"
"andrews","R"
"anesrake","Hmisc"
"anm","clim.pact"
"anm","xtable"
"ant","rJava"
"aod","R"
"aod","methods"
"aod","stats"
"apTreeshape","R"
"apcluster","R"
"apcluster","methods"
"ape","R"
"aplpack","R"
"aplpack","tcltk"
"approximator","emulator"
"apsrtable","R"
"apsrtable","methods"
"apt","car"
"apt","erer"
"aqp","plyr"
"aqp","reshape"
"aqp","lattice"
"aqp","cluster"
"aqp","sp"
"aqp","Hmisc"
"aratio","akima"
"aratio","lattice"
"aratio","locfit"
"aratio","quantreg"
"aratio","boot"
"archetypes","methods"
"archetypes","stats"
"archetypes","modeltools"
"archetypes","nnls"
"ares","foreign"
"ares","gam"
"ares","gplots"
"ares","splines"
"arm","methods"
"arm","MASS"
"arm","Matrix"
"arm","lme4"
"arm","R2WinBUGS"
"arm","abind"
"arm","car"
"aroma.affymetrix","R.utils"
"aroma.affymetrix","R.filesets"
"aroma.affymetrix","aroma.core"
"aroma.affymetrix","aroma.light"
"aroma.affymetrix","aroma.apd"
"aroma.affymetrix","R.rsp"
"aroma.apd","R.methodsS3"
"aroma.apd","R.utils"
"aroma.apd","R.huge"
"aroma.cn","aroma.core"
"aroma.cn","aroma.light"
"aroma.core","R.methodsS3"
"aroma.core","R.oo"
"aroma.core","R.utils"
"aroma.core","R.cache"
"aroma.core","R.filesets"
"aroma.core","R.rsp"
"aroma.core","matrixStats"
"aroma.core","digest"
"aroma.core","aroma.light"
"aroma.light","R.methodsS3"
"arrayImpute","RGtk2"
"arrayImpute","cairoDevice"
"arrayImpute","impute"
"arrayImpute","matlab"
"arrayImpute","quantreg"
"arrayImpute","gnm"
"arrayImpute","nlme"
"arrayMissPattern","RGtk2"
"arrayMissPattern","cairoDevice"
"arrayMissPattern","spatstat"
"ars","R"
"arules","Matrix"
"arulesNBMiner","arules"
"arulesNBMiner","rJava"
"arulesSequences","arules"
"arulesViz","arules"
"arulesViz","MASS"
"arulesViz","scatterplot3d"
"arulesViz","vcd"
"arulesViz","seriation"
"asbio","plotrix"
"asbio","vegan"
"asbio","MASS"
"ascii","proto"
"ascii","utils"
"asd","mvtnorm"
"aspace","adehabitat"
"aspace","ade4"
"aspace","gpclib"
"aspace","sp"
"aspace","maptools"
"aspace","splancs"
"aspace","Hmisc"
"assist","nlme"
"aster","trust"
"aster2","R"
"asympTest","R"
"asypow","R"
"asypow","stats"
"atmi","TTR"
"audio","R"
"automap","sp"
"automap","gstat"
"aws","R"
"aws","methods"
"aylmer","methods"
"aylmer","Brobdingnag"
"aylmer","partitions"
"B2Z","numDeriv"
"B2Z","coda"
"B2Z","mvtnorm"
"BACCO","emulator"
"BACCO","calibrator"
"BACCO","approximator"
"BAMD","coda"
"BARD","digest"
"BAS","R"
"BAS","stats"
"BAYSTAR","mvtnorm"
"BB","quadprog"
"BCA","car"
"BCA","clv"
"BCA","cluster"
"BCA","class"
"BCA","rpart"
"BCA","nnet"
"BCA","rgl"
"BCA","Rcmdr"
"BCE","limSolve"
"BHH2","R"
"BLCOP","methods"
"BLCOP","MASS"
"BLCOP","quadprog"
"BLR","SuppDists"
"BMA","survival"
"BMA","leaps"
"BMN","R"
"BMS","R"
"BMS","methods"
"BPHO","R"
"BSDA","e1071"
"BSagri","mvtnorm"
"BSagri","multcomp"
"BSagri","gamlss"
"BSagri","mratios"
"BSagri","MCPAN"
"BSagri","pairwiseCI"
"BSagri","lattice"
"BSagri","geepack"
"BSagri","boot"
"BTSPAS","R2WinBUGS"
"BTSPAS","coda"
"BTSPAS","splines"
"BTSPAS","actuar"
"BTSPAS","BRugs"
"BaBooN","MASS"
"BaBooN","nnet"
"BaM","bayesm"
"BaM","coda"
"BaM","MASS"
"BaM","stats"
"BaM","mice"
"BaM","survival"
"BaM","foreign"
"BaM","nnet"
"BayHap","boa"
"BayHaz","R"
"BayHaz","splines"
"BayesDA","stats"
"BayesDA","R"
"BayesQTLBIC","leaps"
"BayesTree","nnet"
"BayesValidate","R"
"BayesX","akima"
"BayesX","shapefiles"
"Bchron","hdrcde"
"Bchron","coda"
"Bchron","svDialogs"
"Benchmarking","lpSolveAPI"
"Benchmarking","ucminf"
"Bergm","network"
"Bergm","ergm"
"Bergm","coda"
"Bergm","KernSmooth"
"Bessel","Rmpfr"
"BioIDMapper","RCurl"
"BioIDMapper","XML"
"BioMark","MASS"
"BioMark","pls"
"BioMark","st"
"BioPhysConnectoR","snow"
"BioPhysConnectoR","matrixcalc"
"BioStatR","R"
"BiodiversityR","vegan"
"Biograph","Epi"
"Biograph","msm"
"Biograph","mvna"
"Biograph","survival"
"BiplotGUI","deldir"
"BiplotGUI","rgl"
"BiplotGUI","tcltk"
"BiplotGUI","tcltk2"
"BiplotGUI","tkrplot"
"Bmix","mvtnorm"
"BootPR","zoo"
"BootPR","combinat"
"Boruta","randomForest"
"BradleyTerry","R"
"BradleyTerry2","R"
"Brobdingnag","R"
"Brobdingnag","methods"
"Brobdingnag","graphics"
"BsMD","R"
"backfitRichards","richards"
"backfitRichards","methods"
"backtest","lattice"
"baseline","methods"
"basicspace","R"
"bayesDem","cairoDevice"
"bayesDem","gWidgets"
"bayesDem","gWidgetsRGtk2"
"bayesDem","RGtk2"
"bayesDem","bayesTFR"
"bayesDem","bayesLife"
"bayesGARCH","mvtnorm"
"bayesGARCH","coda"
"bayesLife","bayesTFR"
"bayesSurv","survival"
"bayesSurv","coda"
"bayesSurv","smoothSurv"
"bayesTFR","mvtnorm"
"bayesTFR","coda"
"bayescount","runjags"
"bayescount","coda"
"bayescount","lattice"
"bayescount","stats"
"bayescount","utils"
"bayesm","R"
"bayesmix","rjags"
"bayesmix","coda"
"bbemkr","R"
"bbmle","numDeriv"
"bbmle","lattice"
"bbmle","MASS"
"bclust","R"
"bcp","methods"
"bcp","stats"
"bcp","graphics"
"bcp","foreach"
"bdsmatrix","methods"
"bdsmatrix","R"
"beadarrayMSV","methods"
"bear","reshape"
"bear","nlme"
"bear","sciplot"
"bear","plotrix"
"bear","ICSNP"
"bear","gdata"
"belief","methods"
"benchmark","utils"
"benchmark","proto"
"benchmark","ggplot2"
"benchmark","reshape"
"benchmark","relations"
"bestglm","leaps"
"betaper","vegan"
"betaper","ellipse"
"betareg","Formula"
"bethel","R"
"bfast","strucchange"
"bfast","MASS"
"bfast","forecast"
"bfp","R"
"bgmm","mvtnorm"
"bgmm","car"
"bgmm","lattice"
"bgmm","combinat"
"biGraph","igraph"
"biGraph","gmp"
"biGraph","sets"
"biGraph","MASS"
"biOpsGUI","RGtk2"
"biOpsGUI","biOps"
"biclust","MASS"
"biclust","grid"
"biclust","colorspace"
"biclust","lattice"
"bifactorial","mvtnorm"
"bifactorial","multcomp"
"bifactorial","lattice"
"bifactorial","graphics"
"bifactorial","methods"
"bifactorial","Rcpp"
"biganalytics","methods"
"biganalytics","stats"
"biganalytics","utils"
"biganalytics","bigmemory"
"biglars","ff"
"biglm","DBI"
"biglm","methods"
"bigmemory","methods"
"bigmemory","utils"
"bigtabulate","methods"
"bigtabulate","bigmemory"
"bild","R"
"bild","methods"
"bild","stats"
"bild","graphics"
"bild","utils"
"binMto","mvtnorm"
"bindata","e1071"
"bindata","mvtnorm"
"binhf","wavethresh"
"binhf","adlift"
"binom","lattice"
"binomSamSize","binom"
"bio.infer","R"
"bio.infer","tcltk"
"bipartite","MASS"
"bipartite","methods"
"bipartite","tnet"
"bipartite","vegan"
"bise","R"
"bisoreg","bootstrap"
"bisoreg","monreg"
"bisoreg","R2WinBUGS"
"bisoreg","coda"
"bit","R"
"biwt","rrcov"
"biwt","MASS"
"blender","vegan"
"blighty","utils"
"blockTools","MASS"
"blockTools","gtools"
"blockTools","nbpMatching"
"blockTools","xtable"
"bmd","drc"
"bnlearn","R"
"bnlearn","utils"
"boa","R"
"boolean","Zelig"
"boolfun","R.oo"
"boot","R"
"boot","graphics"
"boot","stats"
"bootRes","base"
"bootRes","stats"
"bootRes","utils"
"bootStepAIC","MASS"
"bootspecdens","MASS"
"bootstrap","stats"
"bootstrap","R"
"bpca","scatterplot3d"
"bpca","rgl"
"bpca","MASS"
"bqtl","R"
"brainwaver","waveslim"
"brglm","profileModel"
"bs","nlme"
"bs","methods"
"bvpSolve","rootSolve"
"bvpSolve","deSolve"
"CADFtest","dynlm"
"CADFtest","sandwich"
"CADFtest","tseries"
"CADFtest","urca"
"CADStat","JGR"
"CADStat","XML"
"CADStat","lattice"
"CADStat","bio.infer"
"CADStat","gdata"
"CADStat","gmodels"
"CADStat","car"
"CADStat","MASS"
"CADStat","quantreg"
"CADStat","rpart"
"CADStat","rJava"
"CAVIAR","R"
"CCA","fda"
"CCA","fields"
"CCMtools","mclust"
"CCMtools","class"
"CCMtools","tree"
"CCMtools","mvtnorm"
"CDFt","R"
"CDNmoney","R"
"CGene","survival"
"CHNOSZ","R"
"CHNOSZ","utils"
"CITAN","ADGofTest"
"CNVassoc","mixdist"
"CNVassoc","mclust"
"CNVassoc","survival"
"COP","dr"
"COP","MASS"
"COSINE","MASS"
"COSINE","genalg"
"COUNT","MASS"
"COZIGAM","mgcv"
"CPE","survival"
"CPE","Design"
"CRTSize","R"
"CVThresh","wavethresh"
"CVThresh","EbayesThresh"
"Cairo","R"
"CalciOMatic","cobs"
"CarbonEL","R"
"CarbonEL","grDevices"
"CausalGAM","gam"
"CellularAutomaton","R.oo"
"ChainLadder","Hmisc"
"ChainLadder","lattice"
"ChainLadder","Matrix"
"ChainLadder","methods"
"ChainLadder","stats"
"ChainLadder","systemfit"
"ChainLadder","MASS"
"ChainLadder","RUnit"
"ChemometricsWithR","ChemometricsWithRData"
"ChemometricsWithR","MASS"
"ChemometricsWithR","nnet"
"ChemometricsWithR","randomForest"
"ChemometricsWithR","ada"
"ChemometricsWithR","rrcov"
"ChemometricsWithR","sfsmisc"
"ChemometricsWithR","ipred"
"ChemometricsWithR","fastICA"
"ChemometricsWithR","rda"
"ChemometricsWithR","TIMP"
"ChemometricsWithR","class"
"ChemometricsWithR","e1071"
"ChemometricsWithR","rpart"
"ChemometricsWithR","cluster"
"ChemometricsWithR","msProstate"
"ChemometricsWithR","ALS"
"ChemometricsWithR","ptw"
"ChemometricsWithR","dtw"
"ChemometricsWithR","boot"
"ChemometricsWithR","leaps"
"ChemometricsWithR","lars"
"ChemometricsWithR","elasticnet"
"ChemometricsWithR","subselect"
"ChemometricsWithR","kohonen"
"ChemometricsWithR","pls"
"ChemometricsWithR","signal"
"ChemometricsWithR","mclust"
"ChemometricsWithRData","R"
"CircNNTSR","stats"
"CircSpatial","fields"
"CircSpatial","CircStats"
"CircSpatial","geoR"
"CircSpatial","RandomFields"
"CircSpatial","spam"
"CircSpatial","MASS"
"CircSpatial","sp"
"CircSpatial","tcltk"
"CircStats","MASS"
"CircStats","boot"
"Ckmeans.1d.dp","R"
"ClinicalRobustPriors","R"
"ClustOfVar","missMDA"
"ClustOfVar","FactoMineR"
"CoCo","R"
"CoCo","methods"
"CoCoCg","CoCo"
"CoCoGraph","dynamicGraph"
"CoCoGraph","MASS"
"CoCoGraph","methods"
"CoCoGraph","CoCo"
"CollocInfer","fda"
"CollocInfer","MASS"
"CollocInfer","odesolve"
"CollocInfer","Matrix"
"CollocInfer","SparseM"
"CombMSC","R"
"CompRandFld","R"
"ConvergenceConcepts","tkrplot"
"ConvergenceConcepts","lattice"
"CorrBin","boot"
"CoxBoost","survival"
"CoxBoost","Matrix"
"Cprob","prodlim"
"Cprob","tpr"
"Cprob","lattice"
"Cprob","geepack"
"CreditMetrics","R"
"c3net","igraph"
"ca","rgl"
"caGUI","rgl"
"caGUI","ca"
"caGUI","tcltk2"
"caGUI","RODBC"
"caMassClass","e1071"
"caMassClass","nnet"
"caMassClass","rpart"
"caMassClass","caTools"
"caMassClass","XML"
"caMassClass","digest"
"caMassClass","MASS"
"caTools","bitops"
"cacheSweave","filehash"
"cacheSweave","stashR"
"cacher","R"
"cairoDevice","R"
"calib","nlme"
"calib","methods"
"calibrate","R"
"calibrator","emulator"
"calibrator","cubature"
"candisc","car"
"candisc","heplots"
"candisc","graphics"
"candisc","stats"
"canvas","R"
"car","MASS"
"car","nnet"
"car","survival"
"care","corpcor"
"caret","lattice"
"caret","reshape"
"caret","stats"
"caret","plyr"
"caroline","R"
"caschrono","forecast"
"caschrono","Hmisc"
"caschrono","its"
"caschrono","timeSeries"
"caspar","mvtnorm"
"catR","sfsmisc"
"catnet","R"
"catnet","methods"
"cba","proxy"
"cccd","deldir"
"cccd","igraph"
"cccd","plotrix"
"ccems","odesolve"
"ccems","snow"
"ccems","PolynomF"
